,set,succes,failures,maxFail
0,primes,9994,0,0
0,analytique_set_1.txt,9350,644,8815
0,analytique_set_10.txt,9336,658,7643
0,analytique_set_100.txt,9344,650,9360
0,analytique_set_11.txt,9363,631,8399
0,analytique_set_12.txt,9341,653,8923
0,analytique_set_13.txt,9334,660,9031
0,analytique_set_14.txt,9373,621,7981
0,analytique_set_15.txt,9332,662,6899
0,analytique_set_16.txt,9384,610,7234
0,analytique_set_17.txt,9351,643,8164
0,analytique_set_18.txt,9369,625,8488
0,analytique_set_19.txt,9354,640,8606
0,analytique_set_2.txt,9375,619,7678
0,analytique_set_20.txt,9387,607,7985
0,analytique_set_21.txt,9361,633,9981
0,analytique_set_22.txt,9398,596,8211
0,analytique_set_23.txt,9339,655,9055
0,analytique_set_24.txt,9363,631,9477
0,analytique_set_25.txt,9369,625,8797
0,analytique_set_26.txt,9330,664,9824
0,analytique_set_27.txt,9387,607,8412
0,analytique_set_28.txt,9345,649,7500
0,analytique_set_29.txt,9345,649,8472
0,analytique_set_3.txt,9370,624,9345
0,analytique_set_30.txt,9357,637,8610
0,analytique_set_31.txt,9396,598,7000
0,analytique_set_32.txt,9347,647,9790
0,analytique_set_33.txt,9382,612,9662
0,analytique_set_34.txt,9364,630,8024
0,analytique_set_35.txt,9369,625,8775
0,analytique_set_36.txt,9343,651,7096
0,analytique_set_37.txt,9395,599,8504
0,analytique_set_38.txt,9382,612,9051
0,analytique_set_39.txt,9399,595,7579
0,analytique_set_4.txt,9378,616,6110
0,analytique_set_40.txt,9381,613,9029
0,analytique_set_41.txt,9367,627,6775
0,analytique_set_42.txt,9351,643,9995
0,analytique_set_43.txt,9356,638,7643
0,analytique_set_44.txt,9346,648,7245
0,analytique_set_45.txt,9340,654,7662
0,analytique_set_46.txt,9383,611,9982
0,analytique_set_47.txt,9378,616,9756
0,analytique_set_48.txt,9396,598,7496
0,analytique_set_49.txt,9367,627,6669
0,analytique_set_5.txt,9400,594,8019
0,analytique_set_50.txt,9361,633,8248
0,analytique_set_51.txt,9370,624,8742
0,analytique_set_52.txt,9333,661,7435
0,analytique_set_53.txt,9382,612,8815
0,analytique_set_54.txt,9351,643,7694
0,analytique_set_55.txt,9371,623,9000
0,analytique_set_56.txt,9384,610,6753
0,analytique_set_57.txt,9370,624,7038
0,analytique_set_58.txt,9406,588,7001
0,analytique_set_59.txt,9376,618,7125
0,analytique_set_6.txt,9396,598,9527
0,analytique_set_60.txt,9384,610,7176
0,analytique_set_61.txt,9375,619,8528
0,analytique_set_62.txt,9374,620,8182
0,analytique_set_63.txt,9383,611,8808
0,analytique_set_64.txt,9356,638,8819
0,analytique_set_65.txt,9351,643,8340
0,analytique_set_66.txt,9356,638,9339
0,analytique_set_67.txt,9382,612,7002
0,analytique_set_68.txt,9406,588,7211
0,analytique_set_69.txt,9337,657,8912
0,analytique_set_7.txt,9371,623,7893
0,analytique_set_70.txt,9375,619,8006
0,analytique_set_71.txt,9380,614,9690
0,analytique_set_72.txt,9408,586,9228
0,analytique_set_73.txt,9363,631,6275
0,analytique_set_74.txt,9377,617,8009
0,analytique_set_75.txt,9346,648,7322
0,analytique_set_76.txt,9388,606,8451
0,analytique_set_77.txt,9351,643,6544
0,analytique_set_78.txt,9365,629,8692
0,analytique_set_79.txt,9384,610,8558
0,analytique_set_8.txt,9382,612,7975
0,analytique_set_80.txt,9358,636,8858
0,analytique_set_81.txt,9341,653,8629
0,analytique_set_82.txt,9371,623,7671
0,analytique_set_83.txt,9339,655,7045
0,analytique_set_84.txt,9383,611,7657
0,analytique_set_85.txt,9374,620,6974
0,analytique_set_86.txt,9364,630,8731
0,analytique_set_87.txt,9348,646,7299
0,analytique_set_88.txt,9356,638,7986
0,analytique_set_89.txt,9362,632,8262
0,analytique_set_9.txt,9391,603,7823
0,analytique_set_90.txt,9374,620,7655
0,analytique_set_91.txt,9376,618,7496
0,analytique_set_92.txt,9380,614,9714
0,analytique_set_93.txt,9349,645,8307
0,analytique_set_94.txt,9370,624,6436
0,analytique_set_95.txt,9360,634,8842
0,analytique_set_96.txt,9408,586,7096
0,analytique_set_97.txt,9398,596,9764
0,analytique_set_98.txt,9353,641,8714
0,analytique_set_99.txt,9362,632,8572
