,set,succes,failures,maxFail
0,primes,9994,0,0
0,odd_prob_set_001.txt,9972,22,640
0,odd_prob_set_002.txt,9981,13,519
0,odd_prob_set_003.txt,9967,27,144
0,odd_prob_set_004.txt,9976,18,312
0,odd_prob_set_005.txt,9969,25,644
0,odd_prob_set_006.txt,9968,26,216
0,odd_prob_set_007.txt,9975,19,544
0,odd_prob_set_008.txt,9969,25,369
0,odd_prob_set_009.txt,9967,27,342
0,odd_prob_set_010.txt,9952,42,676
0,odd_prob_set_011.txt,9974,20,302
0,odd_prob_set_012.txt,9980,14,276
0,odd_prob_set_013.txt,9966,28,260
0,odd_prob_set_014.txt,9976,18,231
0,odd_prob_set_015.txt,9973,21,330
0,odd_prob_set_016.txt,9982,12,720
0,odd_prob_set_017.txt,9976,18,717
0,odd_prob_set_018.txt,9986,8,920
0,odd_prob_set_019.txt,9974,20,635
0,odd_prob_set_020.txt,9968,26,453
0,odd_prob_set_021.txt,9971,23,451
0,odd_prob_set_022.txt,9981,13,166
0,odd_prob_set_023.txt,9978,16,686
0,odd_prob_set_024.txt,9969,25,237
0,odd_prob_set_025.txt,9979,15,775
0,odd_prob_set_026.txt,9983,11,144
0,odd_prob_set_027.txt,9978,16,442
0,odd_prob_set_028.txt,9978,16,278
0,odd_prob_set_029.txt,9985,9,314
0,odd_prob_set_030.txt,9981,13,357
0,odd_prob_set_031.txt,9986,8,116
0,odd_prob_set_032.txt,9986,8,38
0,odd_prob_set_033.txt,9980,14,97
0,odd_prob_set_034.txt,9979,15,331
0,odd_prob_set_035.txt,9982,12,336
0,odd_prob_set_036.txt,9973,21,411
0,odd_prob_set_037.txt,9980,14,392
0,odd_prob_set_038.txt,9982,12,170
0,odd_prob_set_039.txt,9979,15,331
0,odd_prob_set_040.txt,9982,12,553
0,odd_prob_set_041.txt,9975,19,219
0,odd_prob_set_042.txt,9974,20,427
0,odd_prob_set_043.txt,9969,25,392
0,odd_prob_set_044.txt,9951,43,1079
0,odd_prob_set_045.txt,9971,23,193
0,odd_prob_set_046.txt,9975,19,178
0,odd_prob_set_047.txt,9975,19,229
0,odd_prob_set_048.txt,9973,21,312
0,odd_prob_set_049.txt,9972,22,369
0,odd_prob_set_050.txt,9970,24,294
0,odd_prob_set_051.txt,9977,17,494
0,odd_prob_set_052.txt,9966,28,274
0,odd_prob_set_053.txt,9967,27,404
0,odd_prob_set_054.txt,9974,20,467
0,odd_prob_set_055.txt,9979,15,304
0,odd_prob_set_056.txt,9983,11,358
0,odd_prob_set_057.txt,9968,26,231
0,odd_prob_set_058.txt,9979,15,113
0,odd_prob_set_059.txt,9982,12,614
0,odd_prob_set_060.txt,9986,8,261
0,odd_prob_set_061.txt,9977,17,104
0,odd_prob_set_062.txt,9976,18,279
0,odd_prob_set_063.txt,9979,15,250
0,odd_prob_set_064.txt,9968,26,426
0,odd_prob_set_065.txt,9970,24,397
0,odd_prob_set_066.txt,9976,18,258
0,odd_prob_set_067.txt,9986,8,312
0,odd_prob_set_068.txt,9958,36,972
0,odd_prob_set_069.txt,9973,21,413
0,odd_prob_set_070.txt,9971,23,356
0,odd_prob_set_071.txt,9986,8,398
0,odd_prob_set_072.txt,9975,19,404
0,odd_prob_set_073.txt,9966,28,551
0,odd_prob_set_074.txt,9986,8,209
0,odd_prob_set_075.txt,9981,13,253
0,odd_prob_set_076.txt,9984,10,167
0,odd_prob_set_077.txt,9979,15,286
0,odd_prob_set_078.txt,9982,12,167
0,odd_prob_set_079.txt,9965,29,323
0,odd_prob_set_080.txt,9970,24,970
0,odd_prob_set_081.txt,9973,21,457
0,odd_prob_set_082.txt,9963,31,378
0,odd_prob_set_083.txt,9980,14,197
0,odd_prob_set_084.txt,9973,21,520
0,odd_prob_set_085.txt,9963,31,534
0,odd_prob_set_086.txt,9969,25,138
0,odd_prob_set_087.txt,9980,14,210
0,odd_prob_set_088.txt,9982,12,353
0,odd_prob_set_089.txt,9973,21,359
0,odd_prob_set_090.txt,9970,24,193
0,odd_prob_set_091.txt,9985,9,74
0,odd_prob_set_092.txt,9960,34,221
0,odd_prob_set_093.txt,9960,34,443
0,odd_prob_set_094.txt,9956,38,339
0,odd_prob_set_095.txt,9971,23,348
0,odd_prob_set_096.txt,9971,23,349
0,odd_prob_set_097.txt,9984,10,162
0,odd_prob_set_098.txt,9982,12,279
0,odd_prob_set_099.txt,9971,23,217
0,odd_prob_set_100.txt,9943,51,472
