,set,succes,failures,maxFail
0,primes,9994,0,0
0,analytique_odd_set1.txt,9922,72,473
0,analytique_odd_set10.txt,9922,72,810
0,analytique_odd_set100.txt,9911,83,613
0,analytique_odd_set11.txt,9932,62,591
0,analytique_odd_set12.txt,9920,74,1179
0,analytique_odd_set13.txt,9923,71,1324
0,analytique_odd_set14.txt,9927,67,1044
0,analytique_odd_set15.txt,9908,86,866
0,analytique_odd_set16.txt,9916,78,1445
0,analytique_odd_set17.txt,9907,87,605
0,analytique_odd_set18.txt,9904,90,693
0,analytique_odd_set19.txt,9916,78,610
0,analytique_odd_set2.txt,9930,64,506
0,analytique_odd_set20.txt,9915,79,726
0,analytique_odd_set21.txt,9909,85,625
0,analytique_odd_set22.txt,9920,74,1142
0,analytique_odd_set23.txt,9919,75,542
0,analytique_odd_set24.txt,9919,75,965
0,analytique_odd_set25.txt,9919,75,686
0,analytique_odd_set26.txt,9931,63,678
0,analytique_odd_set27.txt,9927,67,1619
0,analytique_odd_set28.txt,9921,73,791
0,analytique_odd_set29.txt,9924,70,876
0,analytique_odd_set3.txt,9909,85,903
0,analytique_odd_set30.txt,9907,87,1595
0,analytique_odd_set31.txt,9914,80,664
0,analytique_odd_set32.txt,9917,77,1389
0,analytique_odd_set33.txt,9910,84,1314
0,analytique_odd_set34.txt,9918,76,1516
0,analytique_odd_set35.txt,9917,77,923
0,analytique_odd_set36.txt,9910,84,944
0,analytique_odd_set37.txt,9906,88,1053
0,analytique_odd_set38.txt,9927,67,1023
0,analytique_odd_set39.txt,9905,89,676
0,analytique_odd_set4.txt,9908,86,951
0,analytique_odd_set40.txt,9920,74,572
0,analytique_odd_set41.txt,9918,76,1179
0,analytique_odd_set42.txt,9922,72,1187
0,analytique_odd_set43.txt,9918,76,554
0,analytique_odd_set44.txt,9909,85,1173
0,analytique_odd_set45.txt,9914,80,693
0,analytique_odd_set46.txt,9920,74,858
0,analytique_odd_set47.txt,9924,70,671
0,analytique_odd_set48.txt,9917,77,762
0,analytique_odd_set49.txt,9913,81,1089
0,analytique_odd_set5.txt,9920,74,626
0,analytique_odd_set50.txt,9918,76,939
0,analytique_odd_set51.txt,9910,84,651
0,analytique_odd_set52.txt,9928,66,634
0,analytique_odd_set53.txt,9914,80,830
0,analytique_odd_set54.txt,9907,87,1108
0,analytique_odd_set55.txt,9910,84,739
0,analytique_odd_set56.txt,9901,93,1027
0,analytique_odd_set57.txt,9923,71,621
0,analytique_odd_set58.txt,9923,71,742
0,analytique_odd_set59.txt,9907,87,589
0,analytique_odd_set6.txt,9925,69,515
0,analytique_odd_set60.txt,9911,83,645
0,analytique_odd_set61.txt,9919,75,774
0,analytique_odd_set62.txt,9916,78,775
0,analytique_odd_set63.txt,9918,76,875
0,analytique_odd_set64.txt,9918,76,782
0,analytique_odd_set65.txt,9922,72,995
0,analytique_odd_set66.txt,9907,87,1066
0,analytique_odd_set67.txt,9928,66,530
0,analytique_odd_set68.txt,9924,70,1454
0,analytique_odd_set69.txt,9917,77,1226
0,analytique_odd_set7.txt,9924,70,521
0,analytique_odd_set70.txt,9932,62,960
0,analytique_odd_set71.txt,9926,68,927
0,analytique_odd_set72.txt,9920,74,519
0,analytique_odd_set73.txt,9920,74,549
0,analytique_odd_set74.txt,9915,79,595
0,analytique_odd_set75.txt,9922,72,856
0,analytique_odd_set76.txt,9913,81,690
0,analytique_odd_set77.txt,9910,84,811
0,analytique_odd_set78.txt,9914,80,525
0,analytique_odd_set79.txt,9910,84,917
0,analytique_odd_set8.txt,9908,86,651
0,analytique_odd_set80.txt,9910,84,736
0,analytique_odd_set81.txt,9917,77,591
0,analytique_odd_set82.txt,9911,83,936
0,analytique_odd_set83.txt,9915,79,1275
0,analytique_odd_set84.txt,9918,76,860
0,analytique_odd_set85.txt,9927,67,501
0,analytique_odd_set86.txt,9926,68,601
0,analytique_odd_set87.txt,9921,73,1155
0,analytique_odd_set88.txt,9922,72,949
0,analytique_odd_set89.txt,9926,68,1062
0,analytique_odd_set9.txt,9917,77,1323
0,analytique_odd_set90.txt,9911,83,1050
0,analytique_odd_set91.txt,9900,94,1112
0,analytique_odd_set92.txt,9919,75,1208
0,analytique_odd_set93.txt,9911,83,684
0,analytique_odd_set94.txt,9925,69,785
0,analytique_odd_set95.txt,9921,73,806
0,analytique_odd_set96.txt,9911,83,890
0,analytique_odd_set97.txt,9917,77,894
0,analytique_odd_set98.txt,9913,81,696
0,analytique_odd_set99.txt,9920,74,913
