,set,succes,failures,maxFail
0,primes,9994,0,0
0,prob_set_001.txt,9697,297,8244
0,prob_set_002.txt,9691,303,5017
0,prob_set_003.txt,9678,316,8434
0,prob_set_004.txt,9629,365,6296
0,prob_set_005.txt,9749,245,7184
0,prob_set_006.txt,9757,237,3107
0,prob_set_007.txt,9673,321,4564
0,prob_set_008.txt,9695,299,4652
0,prob_set_009.txt,9767,227,4022
0,prob_set_010.txt,9671,323,5506
0,prob_set_011.txt,9664,330,5833
0,prob_set_012.txt,9640,354,5397
0,prob_set_013.txt,9689,305,5306
0,prob_set_014.txt,9662,332,7929
0,prob_set_015.txt,9743,251,7910
0,prob_set_016.txt,9737,257,6463
0,prob_set_017.txt,9636,358,6468
0,prob_set_018.txt,9755,239,7045
0,prob_set_019.txt,9657,337,6422
0,prob_set_020.txt,9671,323,7261
0,prob_set_021.txt,9645,349,7076
0,prob_set_022.txt,9688,306,4574
0,prob_set_023.txt,9679,315,7079
0,prob_set_024.txt,9799,195,6803
0,prob_set_025.txt,9676,318,9096
0,prob_set_026.txt,9685,309,4895
0,prob_set_027.txt,9729,265,4999
0,prob_set_028.txt,9672,322,4895
0,prob_set_029.txt,9637,357,6034
0,prob_set_030.txt,9691,303,5853
0,prob_set_031.txt,9761,233,4430
0,prob_set_032.txt,9678,316,6285
0,prob_set_033.txt,9565,429,7525
0,prob_set_034.txt,9690,304,5890
0,prob_set_035.txt,9750,244,7986
0,prob_set_036.txt,9668,326,5506
0,prob_set_037.txt,9641,353,5889
0,prob_set_038.txt,9623,371,4929
0,prob_set_039.txt,9633,361,5657
0,prob_set_040.txt,9650,344,7967
0,prob_set_041.txt,9632,362,8341
0,prob_set_042.txt,9714,280,5789
0,prob_set_043.txt,9683,311,5039
0,prob_set_044.txt,9637,357,7391
0,prob_set_045.txt,9673,321,5308
0,prob_set_046.txt,9597,397,7577
0,prob_set_047.txt,9737,257,6444
0,prob_set_048.txt,9600,394,5318
0,prob_set_049.txt,9672,322,7198
0,prob_set_050.txt,9609,385,5122
0,prob_set_051.txt,9660,334,8144
0,prob_set_052.txt,9763,231,5085
0,prob_set_053.txt,9724,270,9945
0,prob_set_054.txt,9706,288,5234
0,prob_set_055.txt,9662,332,6011
0,prob_set_056.txt,9578,416,7167
0,prob_set_057.txt,9610,384,4572
0,prob_set_058.txt,9678,316,6725
0,prob_set_059.txt,9748,246,5366
0,prob_set_060.txt,9682,312,5833
0,prob_set_061.txt,9672,322,6075
0,prob_set_062.txt,9687,307,7992
0,prob_set_063.txt,9653,341,5383
0,prob_set_064.txt,9713,281,6165
0,prob_set_065.txt,9717,277,7230
0,prob_set_066.txt,9629,365,5501
0,prob_set_067.txt,9577,417,8472
0,prob_set_068.txt,9677,317,6338
0,prob_set_069.txt,9626,368,5302
0,prob_set_070.txt,9684,310,6758
0,prob_set_071.txt,9608,386,6747
0,prob_set_072.txt,9621,373,5537
0,prob_set_073.txt,9700,294,5313
0,prob_set_074.txt,9610,384,6965
0,prob_set_075.txt,9681,313,6052
0,prob_set_076.txt,9725,269,5595
0,prob_set_077.txt,9650,344,7292
0,prob_set_078.txt,9569,425,8011
0,prob_set_079.txt,9612,382,7836
0,prob_set_080.txt,9657,337,8350
0,prob_set_081.txt,9716,278,8195
0,prob_set_082.txt,9686,308,6257
0,prob_set_083.txt,9593,401,5495
0,prob_set_084.txt,9666,328,4155
0,prob_set_085.txt,9733,261,9388
0,prob_set_086.txt,9727,267,7348
0,prob_set_087.txt,9645,349,4591
0,prob_set_088.txt,9721,273,6426
0,prob_set_089.txt,9671,323,6760
0,prob_set_090.txt,9673,321,4473
0,prob_set_091.txt,9641,353,4873
0,prob_set_092.txt,9651,343,6479
0,prob_set_093.txt,9702,292,4599
0,prob_set_094.txt,9667,327,7579
0,prob_set_095.txt,9739,255,8181
0,prob_set_096.txt,9744,250,4556
0,prob_set_097.txt,9609,385,6501
0,prob_set_098.txt,9714,280,6600
0,prob_set_099.txt,9726,268,5860
0,prob_set_100.txt,9592,402,6634
