,set,succes,failures,maxFail
0,primes,9994,0,0
0,rand_samp_001.txt,8964,1030,7329
0,rand_samp_002.txt,8959,1035,6935
0,rand_samp_003.txt,8953,1041,7746
0,rand_samp_004.txt,8978,1016,9685
0,rand_samp_005.txt,9016,978,7032
0,rand_samp_006.txt,8887,1107,6878
0,rand_samp_007.txt,8848,1146,8529
0,rand_samp_008.txt,8983,1011,8620
0,rand_samp_009.txt,8859,1135,7301
0,rand_samp_010.txt,9034,960,7908
0,rand_samp_011.txt,8914,1080,7100
0,rand_samp_012.txt,9137,857,7635
0,rand_samp_013.txt,9063,931,7228
0,rand_samp_014.txt,9092,902,8195
0,rand_samp_015.txt,9088,906,7715
0,rand_samp_016.txt,9025,969,8220
0,rand_samp_017.txt,9020,974,6694
0,rand_samp_018.txt,9086,908,9187
0,rand_samp_019.txt,9003,991,7076
0,rand_samp_020.txt,8983,1011,7125
0,rand_samp_021.txt,9126,868,6775
0,rand_samp_022.txt,9054,940,7787
0,rand_samp_023.txt,9047,947,6343
0,rand_samp_024.txt,8995,999,6608
0,rand_samp_025.txt,8841,1153,8328
0,rand_samp_026.txt,8804,1190,6007
0,rand_samp_027.txt,8849,1145,9970
0,rand_samp_028.txt,8866,1128,8683
0,rand_samp_029.txt,8978,1016,7402
0,rand_samp_030.txt,9002,992,7644
0,rand_samp_031.txt,9037,957,5070
0,rand_samp_032.txt,9120,874,6084
0,rand_samp_033.txt,8961,1033,7771
0,rand_samp_034.txt,8910,1084,5938
0,rand_samp_035.txt,9044,950,6114
0,rand_samp_036.txt,8884,1110,7494
0,rand_samp_037.txt,8985,1009,8664
0,rand_samp_038.txt,9082,912,6530
0,rand_samp_039.txt,8950,1044,7197
0,rand_samp_040.txt,9106,888,8948
0,rand_samp_041.txt,9072,922,6799
0,rand_samp_042.txt,9108,886,7965
0,rand_samp_043.txt,8988,1006,8150
0,rand_samp_044.txt,8997,997,6730
0,rand_samp_045.txt,9167,827,7651
0,rand_samp_046.txt,9188,806,6235
0,rand_samp_047.txt,8964,1030,8386
0,rand_samp_048.txt,8928,1066,9387
0,rand_samp_049.txt,8872,1122,7358
0,rand_samp_050.txt,8953,1041,6490
0,rand_samp_051.txt,9018,976,6772
0,rand_samp_052.txt,9081,913,8065
0,rand_samp_053.txt,8841,1153,9887
0,rand_samp_054.txt,9168,826,8577
0,rand_samp_055.txt,9031,963,8634
0,rand_samp_056.txt,9070,924,5338
0,rand_samp_057.txt,8993,1001,8591
0,rand_samp_058.txt,8732,1262,8331
0,rand_samp_059.txt,9008,986,5999
0,rand_samp_060.txt,9005,989,8271
0,rand_samp_061.txt,8753,1241,7764
0,rand_samp_062.txt,9082,912,8636
0,rand_samp_063.txt,9068,926,6980
0,rand_samp_064.txt,8871,1123,6167
0,rand_samp_065.txt,8971,1023,7534
0,rand_samp_066.txt,8992,1002,9082
0,rand_samp_067.txt,9102,892,8745
0,rand_samp_068.txt,8949,1045,8666
0,rand_samp_069.txt,8892,1102,6480
0,rand_samp_070.txt,9035,959,7287
0,rand_samp_071.txt,8888,1106,7771
0,rand_samp_072.txt,8922,1072,8110
0,rand_samp_073.txt,8939,1055,6596
0,rand_samp_074.txt,8856,1138,7083
0,rand_samp_075.txt,8940,1054,8323
0,rand_samp_076.txt,8901,1093,6683
0,rand_samp_077.txt,9213,781,6097
0,rand_samp_078.txt,9075,919,7200
0,rand_samp_079.txt,9138,856,8698
0,rand_samp_080.txt,9002,992,7502
0,rand_samp_081.txt,8943,1051,8799
0,rand_samp_082.txt,9011,983,9292
0,rand_samp_083.txt,8974,1020,6311
0,rand_samp_084.txt,9028,966,8318
0,rand_samp_085.txt,8948,1046,9186
0,rand_samp_086.txt,8894,1100,7725
0,rand_samp_087.txt,9045,949,7074
0,rand_samp_088.txt,9020,974,5847
0,rand_samp_089.txt,9077,917,7039
0,rand_samp_090.txt,8997,997,5815
0,rand_samp_091.txt,8952,1042,6218
0,rand_samp_092.txt,8988,1006,9614
0,rand_samp_093.txt,9073,921,7984
0,rand_samp_094.txt,9004,990,8294
0,rand_samp_095.txt,9062,932,6441
0,rand_samp_096.txt,8928,1066,9232
0,rand_samp_097.txt,9019,975,7327
0,rand_samp_098.txt,9040,954,9540
0,rand_samp_099.txt,8888,1106,6580
0,rand_samp_100.txt,8796,1198,9806
