,set,succes,failures,maxFail
0,primes,9994,0,0
0,rand_samp_odd001.txt,9801,193,1181
0,rand_samp_odd002.txt,9791,203,1103
0,rand_samp_odd003.txt,9741,253,1516
0,rand_samp_odd004.txt,9750,244,1176
0,rand_samp_odd005.txt,9747,247,1918
0,rand_samp_odd006.txt,9766,228,1680
0,rand_samp_odd007.txt,9746,248,1828
0,rand_samp_odd008.txt,9693,301,1412
0,rand_samp_odd009.txt,9770,224,1210
0,rand_samp_odd010.txt,9720,274,1726
0,rand_samp_odd011.txt,9696,298,1895
0,rand_samp_odd012.txt,9747,247,1080
0,rand_samp_odd013.txt,9689,305,1053
0,rand_samp_odd014.txt,9708,286,1033
0,rand_samp_odd015.txt,9689,305,1345
0,rand_samp_odd016.txt,9772,222,1834
0,rand_samp_odd017.txt,9574,420,1599
0,rand_samp_odd018.txt,9707,287,1687
0,rand_samp_odd019.txt,9768,226,1658
0,rand_samp_odd020.txt,9740,254,1610
0,rand_samp_odd021.txt,9735,259,1478
0,rand_samp_odd022.txt,9678,316,1567
0,rand_samp_odd023.txt,9659,335,1766
0,rand_samp_odd024.txt,9756,238,1283
0,rand_samp_odd025.txt,9752,242,1944
0,rand_samp_odd026.txt,9751,243,1896
0,rand_samp_odd027.txt,9721,273,1683
0,rand_samp_odd028.txt,9746,248,1755
0,rand_samp_odd029.txt,9692,302,1486
0,rand_samp_odd030.txt,9717,277,1414
0,rand_samp_odd031.txt,9689,305,1880
0,rand_samp_odd032.txt,9819,175,1648
0,rand_samp_odd033.txt,9731,263,1786
0,rand_samp_odd034.txt,9688,306,1530
0,rand_samp_odd035.txt,9744,250,1450
0,rand_samp_odd036.txt,9741,253,1734
0,rand_samp_odd037.txt,9769,225,949
0,rand_samp_odd038.txt,9759,235,1355
0,rand_samp_odd039.txt,9790,204,2061
0,rand_samp_odd040.txt,9766,228,1080
0,rand_samp_odd041.txt,9776,218,1043
0,rand_samp_odd042.txt,9720,274,942
0,rand_samp_odd043.txt,9708,286,3163
0,rand_samp_odd044.txt,9689,305,2114
0,rand_samp_odd045.txt,9719,275,1151
0,rand_samp_odd046.txt,9708,286,1354
0,rand_samp_odd047.txt,9768,226,1342
0,rand_samp_odd048.txt,9788,206,1738
0,rand_samp_odd049.txt,9788,206,1885
0,rand_samp_odd050.txt,9746,248,1448
0,rand_samp_odd051.txt,9761,233,2022
0,rand_samp_odd052.txt,9671,323,2088
0,rand_samp_odd053.txt,9700,294,1989
0,rand_samp_odd054.txt,9815,179,954
0,rand_samp_odd055.txt,9653,341,1142
0,rand_samp_odd056.txt,9732,262,2190
0,rand_samp_odd057.txt,9659,335,1423
0,rand_samp_odd058.txt,9730,264,1625
0,rand_samp_odd059.txt,9758,236,2145
0,rand_samp_odd060.txt,9730,264,1851
0,rand_samp_odd061.txt,9778,216,1701
0,rand_samp_odd062.txt,9779,215,951
0,rand_samp_odd063.txt,9738,256,1914
0,rand_samp_odd064.txt,9782,212,1252
0,rand_samp_odd065.txt,9764,230,1970
0,rand_samp_odd066.txt,9783,211,1756
0,rand_samp_odd067.txt,9712,282,2000
0,rand_samp_odd068.txt,9678,316,1050
0,rand_samp_odd069.txt,9700,294,1554
0,rand_samp_odd070.txt,9788,206,1520
0,rand_samp_odd071.txt,9768,226,881
0,rand_samp_odd072.txt,9746,248,1522
0,rand_samp_odd073.txt,9714,280,1381
0,rand_samp_odd074.txt,9790,204,1967
0,rand_samp_odd075.txt,9745,249,1776
0,rand_samp_odd076.txt,9810,184,1062
0,rand_samp_odd077.txt,9705,289,1481
0,rand_samp_odd078.txt,9705,289,1280
0,rand_samp_odd079.txt,9743,251,1111
0,rand_samp_odd080.txt,9721,273,1159
0,rand_samp_odd081.txt,9740,254,1799
0,rand_samp_odd082.txt,9727,267,1485
0,rand_samp_odd083.txt,9797,197,1072
0,rand_samp_odd084.txt,9752,242,1325
0,rand_samp_odd085.txt,9728,266,2388
0,rand_samp_odd086.txt,9728,266,1592
0,rand_samp_odd087.txt,9776,218,1078
0,rand_samp_odd088.txt,9731,263,2227
0,rand_samp_odd089.txt,9768,226,1668
0,rand_samp_odd090.txt,9727,267,1118
0,rand_samp_odd091.txt,9739,255,1251
0,rand_samp_odd092.txt,9686,308,1680
0,rand_samp_odd093.txt,9769,225,1568
0,rand_samp_odd094.txt,9713,281,2031
0,rand_samp_odd095.txt,9784,210,991
0,rand_samp_odd096.txt,9717,277,1442
0,rand_samp_odd097.txt,9831,163,997
0,rand_samp_odd098.txt,9678,316,1440
0,rand_samp_odd099.txt,9734,260,1119
0,rand_samp_odd100.txt,9681,313,1611
